date,hour_interval,mean_temp
2015-04-06,0800-1200,52.75
2015-04-06,1200-1600,59.5
2015-04-06,1600-2000,55.5
2015-04-06,2000-0000,49.4
2015-04-07,0000-0400,60.75
2015-04-07,0400-0800,57.5
2015-04-07,0800-1200,52.5
2015-04-07,1200-1600,49.666666666666664
2015-04-07,1600-2000,45.55555555555556
2015-04-07,2000-0000,34.0
2015-04-08,0000-0400,41.125
2015-04-08,0400-0800,41.0
2015-04-08,0800-1200,42.0
2015-04-08,1200-1600,43.5
2015-04-08,1600-2000,42.0
2015-04-08,2000-0000,32.142857142857146
2015-04-09,0000-0400,37.0
2015-04-09,0400-0800,37.0
2015-04-09,0800-1200,38.42857142857143
2015-04-09,1200-1600,41.0
2015-04-09,1600-2000,42.0
2015-04-09,2000-0000,35.0
2015-04-10,0000-0400,39.833333333333336
2015-04-10,0400-0800,39.63636363636363
2015-04-10,0800-1200,43.61538461538461
2015-04-10,1200-1600,51.6
2015-04-10,1600-2000,55.666666666666664
2015-04-10,2000-0000,45.333333333333336
2015-04-11,0000-0400,53.5
2015-04-11,0400-0800,53.5
2015-04-11,0800-1200,54.75
2015-04-11,1200-1600,55.0
2015-04-11,1600-2000,51.5
2015-04-11,2000-0000,36.6
2015-04-12,0000-0400,43.75
2015-04-12,0400-0800,44.75
2015-04-12,0800-1200,56.0
2015-04-12,1200-1600,63.25
2015-04-12,1600-2000,55.75
2015-04-12,2000-0000,41.8
2015-04-13,0000-0400,51.75
2015-04-13,0400-0800,52.25
2015-04-13,0800-1200,61.75
2015-04-13,1200-1600,66.5
2015-04-13,1600-2000,64.0
2015-04-13,2000-0000,48.6
2015-04-14,0000-0400,61.0
2015-04-14,0400-0800,59.142857142857146
2015-04-14,0800-1200,56.2
2015-04-14,1200-1600,63.75
2015-04-14,1600-2000,62.5
2015-04-14,2000-0000,47.6
2015-04-15,0000-0400,54.75
2015-04-15,0400-0800,52.75
2015-04-15,0800-1200,62.75
2015-04-15,1200-1600,69.5
2015-04-15,1600-2000,67.5
2015-04-15,2000-0000,48.2
2015-04-16,0000-0400,55.0
2015-04-16,0400-0800,53.0
2015-04-16,0800-1200,60.5
2015-04-16,1200-1600,61.25
2015-04-16,1600-2000,55.25
2015-04-16,2000-0000,45.6
2015-04-17,0000-0400,57.75
2015-04-17,0400-0800,56.125
2015-04-17,0800-1200,60.0
2015-04-17,1200-1600,66.16666666666667
2015-04-17,1600-2000,69.25
2015-04-17,2000-0000,51.8
2015-04-18,0000-0400,61.0
2015-04-18,0400-0800,60.5
2015-04-18,0800-1200,71.5
2015-04-18,1200-1600,77.0
2015-04-18,1600-2000,74.5
2015-04-18,2000-0000,53.0
2015-04-19,0000-0400,58.0
2015-04-19,0400-0800,54.5
2015-04-19,0800-1200,59.75
2015-04-19,1200-1600,56.75
2015-04-19,1600-2000,51.5
2015-04-19,2000-0000,38.6
2015-04-20,0000-0400,47.6
2015-04-20,0400-0800,49.875
2015-04-20,0800-1200,52.93333333333333
2015-04-20,1200-1600,55.642857142857146
2015-04-20,1600-2000,53.111111111111114
2015-04-20,2000-0000,52.0
2015-04-21,0000-0400,52.666666666666664
2015-04-21,0400-0800,54.0
2015-04-21,0800-1200,57.0
2015-04-21,1200-1600,63.25
2015-04-21,1600-2000,60.75
2015-04-21,2000-0000,45.6
2015-04-22,0000-0400,52.5
2015-04-22,0400-0800,54.5
2015-04-22,0800-1200,65.0
2015-04-22,1200-1600,61.25
2015-04-22,1600-2000,54.75
2015-04-22,2000-0000,40.8
2015-04-23,0000-0400,42.5
2015-04-23,0400-0800,42.75
2015-04-23,0800-1200,47.5
2015-04-23,1200-1600,49.0
2015-04-23,1600-2000,45.5
2015-04-23,2000-0000,34.0
2015-04-24,0000-0400,40.0
2015-04-24,0400-0800,39.25
2015-04-24,0800-1200,43.75
2015-04-24,1200-1600,49.75
2015-04-24,1600-2000,45.5
2015-04-24,2000-0000,32.2
2015-04-25,0000-0400,38.75
2015-04-25,0400-0800,39.75
2015-04-25,0800-1200,50.25
2015-04-25,1200-1600,58.5
2015-04-25,1600-2000,57.0
2015-04-25,2000-0000,41.4
2015-04-26,0000-0400,48.25
2015-04-26,0400-0800,49.0
2015-04-26,0800-1200,57.0
2015-04-26,1200-1600,61.0
