CMPLNT_NUM, ID
859347254,45
908644076,150
909776850,61
910721198,67
927410281,66
934839150,6
949473577,150
954630878,18
964628489,150
983102160,1
998227287,8
108447935,169
117241190,27
119485486,120
127048031,46
141669209,33
141669209,35
145503914,24
147600964,133
168307513,146
196492155,45
212597209,161
227376673,64
233841825,67
235088815,27
236202156,11
277061661,30
294139519,150
304678036,169
337329384,177
340001766,146
344737532,9
354838249,169
364938792,177
380739852,76
411605704,13
422929336,8
448167665,13
462204390,57
468470312,150
484662515,177
494128913,4
508382008,150
525922544,67
528963093,150
533207097,147
548611866,27
558814091,146
593963710,161
614187305,146
646418010,20
661167043,150
711681907,45
724503155,47
751655477,65
751655477,160
755449188,169
765071179,115
779500698,150
843346417,27
860381459,150
874861307,27
891467138,127
894440415,45
928775392,48
929531487,150
941561549,97
945076507,39
953893444,65
953893444,160
960501636,150
105961288,15
121483190,150
136148698,8
167270874,33
167270874,35
185763630,27
203341343,135
206801656,150
209301260,150
227683384,12
253051331,58
281349745,120
317142916,182
323040377,150
383178495,169
388213006,58
407514941,28
426665009,6
434091196,67
437699897,1
453296445,150
459373190,178
472567300,169
485227183,47
505253229,40
578902096,45
582357457,6
634338670,1
647091749,150
651752721,27
659140664,120
676490018,150
677511871,8
679785419,33
679785419,35
680489896,27
725635738,13
732529333,45
735750325,20
746754785,150
748410407,146
754526241,177
775967142,164
781456778,177
788966662,88
790197006,150
795320713,150
797314417,150
828087049,27
855489176,6
868463432,150
868669781,6
904963465,84
954143447,65
954143447,160
956234200,146
976981155,54
986247868,28
987916437,13
994658958,13
995023228,66
143236410,13
155611738,10
162793996,9
176469875,83
182777164,45
225442022,33
225442022,35
259958487,150
263911459,29
282292381,150
318955577,182
321907107,45
322590212,150
322976779,27
325452692,150
381123423,88
388057853,53
412261535,164
455331544,47
466532868,97
488155262,177
501095603,62
502272361,146
503103294,6
504584103,150
525310907,120
526207713,13
527215048,27
540087520,4
548549372,81
597102487,53
612042813,8
628102710,45
640515252,40
650699490,1
675568250,13
679765945,1
714515033,9
742526981,148
770413193,13
773071184,15
796087571,4
805584237,177
815343554,125
817180925,169
828183936,177
844975888,1
856075973,169
882605767,13
896992279,123
898819426,13
912554308,150
912642564,150
921386573,169
937630283,16
968877976,150
984337851,47
988528301,45
174713812,146
181179221,28
258621584,65
258621584,160
267110763,64
282175928,150
298869119,161
305310313,150
322165891,27
356054955,27
367604952,21
379673803,96
383207308,45
400145050,150
411533307,150
457817719,40
461867077,26
466683922,66
480271293,33
480271293,35
500947438,133
513738860,150
520761634,24
528491621,27
544082703,150
557230685,150
568890976,4
575687076,150
590375471,105
594835512,150
608007479,150
611980876,9
631557313,150
707075906,45
710228531,120
718412767,95
725917158,47
731638259,1
812854758,150
823707769,13
844166858,150
867790261,13
899700423,150
966237133,15
977953045,47
982967143,150
988011179,169
988253949,1
143652254,150
146327264,9
175349759,169
202041121,66
204200544,6
205014312,65
205014312,160
241985997,46
253663730,169
276702377,177
279105200,84
283654246,177
318714711,177
362993227,150
366665899,169
371193719,120
396040107,45
428559991,33
428559991,35
437721298,135
459171093,95
475208842,27
491498973,169
497977386,169
500752095,150
533012164,13
549387011,27
572281149,150
635496018,47
636452438,150
676950252,4
684463139,95
688441568,146
697326711,150
701319763,150
727203882,27
742260040,67
743225835,53
747692334,51
750057843,6
753761848,150
761114246,9
769787195,27
789976522,177
798365137,62
811070602,66
870256210,27
880422173,12
890059758,8
897128996,169
902997036,169
907175126,27
914240287,150
915320661,27
916466426,161
965763900,24
966506292,74
982394097,13
990123887,9
990894846,65
990894846,160
998563743,28
126241524,65
126241524,160
184075618,52
191443028,16
231344782,7
235399788,177
235442679,169
283778683,58
287172281,150
322105836,27
325879685,66
329173247,13
378042634,150
393157885,12
424558129,54
449367510,1
457410917,47
522633074,12
531502611,177
541707481,177
546572155,27
555428497,48
632133922,47
636461401,9
661836632,45
666782494,6
683703154,150
684223277,12
696856502,4
698005368,153
699463940,65
699463940,160
700048734,150
757441792,150
760337692,146
798442935,20
806897382,8
811016407,150
826318380,150
832919728,150
859515037,150
869479843,47
874284194,169
884853279,67
979179142,4
992801145,6
112468947,150
112569879,146
145247157,27
146630551,66
185169883,27
201547278,27
216052932,177
217779437,165
220861355,150
252831818,65
252831818,160
272286077,146
276552078,125
287719605,169
335031589,66
350925761,13
379579118,53
384310288,45
410130427,169
443015173,140
465233748,65
465233748,160
473905913,6
508755821,177
559976113,140
573465065,150
577327851,58
582601077,123
587277987,62
601351721,43
608395280,150
610243200,177
678828359,14
683434646,177
691502354,150
693021207,24
700498880,150
702134879,88
723232776,150
749297169,169
752832782,150
754859229,28
768899702,150
786660913,61
806232165,100
837729550,8
839179721,20
840075254,128
858490220,140
884744192,13
903481847,62
910471165,139
917991253,13
938505079,150
